3459 [coreLoadExecutor-3-thread-1] WARN  org.apache.solr.core.SolrCore  – [collection1] Solr index directory '/Users/xcv58/solr-4.5.1/wiki/solr/collection1/data/index' doesn't exist. Creating new index...
3466 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/xcv58/solr-4.5.1/wiki/solr/collection1/data/index
3510 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/xcv58/solr-4.5.1/wiki/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@3ccc9f79; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
3511 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
3516 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – created json: solr.JSONResponseWriter
3516 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – adding lazy queryResponseWriter: solr.VelocityResponseWriter
3517 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – created velocity: solr.VelocityResponseWriter
3520 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – created xslt: solr.XSLTResponseWriter
3521 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.response.XSLTResponseWriter  – xsltCacheLifetimeSeconds=5
3606 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
3618 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /dataimport: org.apache.solr.handler.dataimport.DataImportHandler
3624 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
3625 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
3627 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
3628 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /browse: solr.SearchHandler
3632 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
3635 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: solr.JsonUpdateRequestHandler
3637 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: solr.CSVRequestHandler
3637 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
3638 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/extract: solr.extraction.ExtractingRequestHandler
3638 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
3638 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
3638 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
3638 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/document: solr.DocumentAnalysisRequestHandler
3641 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: solr.admin.AdminHandlers
3643 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
3647 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /debug/dump: solr.DumpRequestHandler
3660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
3660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /spell: solr.SearchHandler
3660 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /tvrh: solr.SearchHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /terms: solr.SearchHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3661 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /elevate: solr.SearchHandler
3676 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3679 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3679 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3694 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: if uncommited for 15000ms; 
3694 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
3697 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/xcv58/solr-4.5.1/wiki/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@3ccc9f79; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
3697 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
3703 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@3dbb01dd main
3708 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
3714 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.spelling.DirectSolrSpellChecker  – init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
3721 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
3723 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.QueryElevationComponent  – Loading QueryElevation from: /Users/xcv58/solr-4.5.1/wiki/solr/collection1/conf/elevate.xml
3756 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.ReplicationHandler  – Commits will be reserved for  10000
3756 [searcherExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@3dbb01dd main{StandardDirectoryReader(segments_1:1:nrt)}
3757 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: collection1
3759 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/Users/xcv58/solr-4.5.1/wiki
3760 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
3805 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
3821 [searcherExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=62 
3821 [searcherExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
3821 [searcherExecutor-4-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Loading spell index for spellchecker: default
3822 [searcherExecutor-4-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Loading spell index for spellchecker: wordbreak
3822 [searcherExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Registered new searcher Searcher@3dbb01dd main{StandardDirectoryReader(segments_1:1:nrt)}
62506 [qtp1773103387-12] INFO  org.apache.solr.servlet.SolrDispatchFilter  – [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1385679409288&wt=json} status=0 QTime=5 
62556 [qtp1773103387-12] INFO  org.apache.solr.servlet.SolrDispatchFilter  – [admin] webapp=null path=/admin/info/system params={_=1385679409321&wt=json} status=0 QTime=25 
62607 [qtp1773103387-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/dataimport params={indent=true&command=status&_=1385679409381&wt=json} status=0 QTime=7 
62607 [qtp1773103387-17] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/dataimport params={indent=true&command=show-config&_=1385679409380} status=0 QTime=7 
62609 [qtp1773103387-12] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1385679409380&wt=json} status=0 QTime=14 
64236 [qtp1773103387-12] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/dataimport params={indent=true&command=status&_=1385679411024&wt=json} status=0 QTime=1 
65567 [qtp1773103387-12] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1385679412353&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
65567 [qtp1773103387-17] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1385679412354&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
65582 [qtp1773103387-12] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/luke params={numTerms=0&_=1385679412368&show=index&wt=json} status=0 QTime=2 
65585 [qtp1773103387-17] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/replication params={command=details&_=1385679412369&wt=json} status=0 QTime=3 
65612 [qtp1773103387-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/system params={_=1385679412370&wt=json} status=0 QTime=30 
65612 [qtp1773103387-14] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1385679412371} status=0 QTime=0 
65616 [qtp1773103387-18] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/ping params={action=status&_=1385679412371&wt=json} status=503 QTime=4 
66951 [qtp1773103387-12] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1385679413737&wt=json} status=0 QTime=1 
66974 [qtp1773103387-12] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1385679413763&wt=json} status=0 QTime=1 
66978 [qtp1773103387-17] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/dataimport params={indent=true&command=show-config&_=1385679413763} status=0 QTime=3 
66978 [qtp1773103387-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/dataimport params={indent=true&command=status&_=1385679413765&wt=json} status=0 QTime=1 
68327 [qtp1773103387-12] INFO  org.apache.solr.handler.dataimport.DataImporter  – Loading DIH Configuration: ./data-config.xml
68342 [qtp1773103387-12] INFO  org.apache.solr.handler.dataimport.config.DIHConfiguration  – The field :$skipDoc present in DataConfig does not have a counterpart in Solr Schema
